CD_UF,NAME_UF,Expense_Type,Value,Group
11,Rondônia,Collection of material,51875.92,Diagnostic Procedures
12,Acre,Collection of material,23075.46,Diagnostic Procedures
13,Amazonas,Collection of material,48060.56,Diagnostic Procedures
14,Roraima,Collection of material,7559.06,Diagnostic Procedures
15,Pará,Collection of material,101717.37,Diagnostic Procedures
16,Amapá,Collection of material,1188.13,Diagnostic Procedures
17,Tocantins,Collection of material,15016.24,Diagnostic Procedures
21,Maranhão,Collection of material,82763.67,Diagnostic Procedures
22,Piauí,Collection of material,82649.16,Diagnostic Procedures
23,Ceará,Collection of material,78951.69,Diagnostic Procedures
24,Rio Grande do Norte,Collection of material,47091.11,Diagnostic Procedures
25,Paraíba,Collection of material,39693.09,Diagnostic Procedures
26,Pernambuco,Collection of material,303693.15,Diagnostic Procedures
27,Alagoas,Collection of material,26017.96,Diagnostic Procedures
28,Sergipe,Collection of material,29010.94,Diagnostic Procedures
29,Bahia,Collection of material,219751.92,Diagnostic Procedures
31,Minas Gerais,Collection of material,1200029.15,Diagnostic Procedures
32,Espírito Santo,Collection of material,288228.16,Diagnostic Procedures
33,Rio de Janeiro,Collection of material,446878.48,Diagnostic Procedures
35,São Paulo,Collection of material,2214694.47,Diagnostic Procedures
41,Paraná,Collection of material,1331249.34,Diagnostic Procedures
42,Santa Catarina,Collection of material,373651.94,Diagnostic Procedures
43,Rio Grande do Sul,Collection of material,516914.23,Diagnostic Procedures
50,Mato Grosso do Sul,Collection of material,113457.47,Diagnostic Procedures
51,Mato Grosso,Collection of material,46103.24,Diagnostic Procedures
52,Goiás,Collection of material,63784.33,Diagnostic Procedures
53,Distrito Federal,Collection of material,329166.78,Diagnostic Procedures
-,Brazil (total),Collection of material,8082273.02,Diagnostic Procedures
11,Rondônia,Diagnosis by endoscopy,14813.26,Diagnostic Procedures
12,Acre,Diagnosis by endoscopy,0.0,Diagnostic Procedures
13,Amazonas,Diagnosis by endoscopy,109539.29,Diagnostic Procedures
14,Roraima,Diagnosis by endoscopy,470.59,Diagnostic Procedures
15,Pará,Diagnosis by endoscopy,149098.09,Diagnostic Procedures
16,Amapá,Diagnosis by endoscopy,0.0,Diagnostic Procedures
17,Tocantins,Diagnosis by endoscopy,6511.81,Diagnostic Procedures
21,Maranhão,Diagnosis by endoscopy,34679.41,Diagnostic Procedures
22,Piauí,Diagnosis by endoscopy,25612.4,Diagnostic Procedures
23,Ceará,Diagnosis by endoscopy,6099.3,Diagnostic Procedures
24,Rio Grande do Norte,Diagnosis by endoscopy,313745.46,Diagnostic Procedures
25,Paraíba,Diagnosis by endoscopy,4276.19,Diagnostic Procedures
26,Pernambuco,Diagnosis by endoscopy,852471.66,Diagnostic Procedures
27,Alagoas,Diagnosis by endoscopy,83728.14,Diagnostic Procedures
28,Sergipe,Diagnosis by endoscopy,42916.19,Diagnostic Procedures
29,Bahia,Diagnosis by endoscopy,375567.08,Diagnostic Procedures
31,Minas Gerais,Diagnosis by endoscopy,3826080.81,Diagnostic Procedures
32,Espírito Santo,Diagnosis by endoscopy,188477.0,Diagnostic Procedures
33,Rio de Janeiro,Diagnosis by endoscopy,287000.28,Diagnostic Procedures
35,São Paulo,Diagnosis by endoscopy,1408976.06,Diagnostic Procedures
41,Paraná,Diagnosis by endoscopy,12769728.33,Diagnostic Procedures
42,Santa Catarina,Diagnosis by endoscopy,3437233.55,Diagnostic Procedures
43,Rio Grande do Sul,Diagnosis by endoscopy,1657543.23,Diagnostic Procedures
50,Mato Grosso do Sul,Diagnosis by endoscopy,252472.68,Diagnostic Procedures
51,Mato Grosso,Diagnosis by endoscopy,0.0,Diagnostic Procedures
52,Goiás,Diagnosis by endoscopy,14790.21,Diagnostic Procedures
53,Distrito Federal,Diagnosis by endoscopy,33180.15,Diagnostic Procedures
Total,Brazil (total),Diagnosis by endoscopy,25895011.17,Diagnostic Procedures
11,Rondônia,Diagnostic methods in specialties,0.0,Diagnostic Procedures
12,Acre,Diagnostic methods in specialties,0.0,Diagnostic Procedures
13,Amazonas,Diagnostic methods in specialties,340.0,Diagnostic Procedures
14,Roraima,Diagnostic methods in specialties,0.0,Diagnostic Procedures
15,Pará,Diagnostic methods in specialties,12750.0,Diagnostic Procedures
16,Amapá,Diagnostic methods in specialties,0.0,Diagnostic Procedures
17,Tocantins,Diagnostic methods in specialties,0.0,Diagnostic Procedures
21,Maranhão,Diagnostic methods in specialties,0.0,Diagnostic Procedures
22,Piauí,Diagnostic methods in specialties,82034.65,Diagnostic Procedures
23,Ceará,Diagnostic methods in specialties,267315.62,Diagnostic Procedures
24,Rio Grande do Norte,Diagnostic methods in specialties,41820.0,Diagnostic Procedures
25,Paraíba,Diagnostic methods in specialties,25540.0,Diagnostic Procedures
26,Pernambuco,Diagnostic methods in specialties,52367.96,Diagnostic Procedures
27,Alagoas,Diagnostic methods in specialties,0.0,Diagnostic Procedures
28,Sergipe,Diagnostic methods in specialties,170.0,Diagnostic Procedures
29,Bahia,Diagnostic methods in specialties,5148.0,Diagnostic Procedures
31,Minas Gerais,Diagnostic methods in specialties,187299.8,Diagnostic Procedures
32,Espírito Santo,Diagnostic methods in specialties,0.0,Diagnostic Procedures
33,Rio de Janeiro,Diagnostic methods in specialties,88267.76,Diagnostic Procedures
35,São Paulo,Diagnostic methods in specialties,1491074.35,Diagnostic Procedures
41,Paraná,Diagnostic methods in specialties,2079579.34,Diagnostic Procedures
42,Santa Catarina,Diagnostic methods in specialties,117143.3,Diagnostic Procedures
43,Rio Grande do Sul,Diagnostic methods in specialties,498464.58,Diagnostic Procedures
50,Mato Grosso do Sul,Diagnostic methods in specialties,0.0,Diagnostic Procedures
51,Mato Grosso,Diagnostic methods in specialties,0.0,Diagnostic Procedures
52,Goiás,Diagnostic methods in specialties,220243.67,Diagnostic Procedures
53,Distrito Federal,Diagnostic methods in specialties,0.0,Diagnostic Procedures
Total,Brazil (total),Diagnostic methods in specialties,5169559.03,Diagnostic Procedures
11,Rondônia,Consultations / Appointments / Follow-ups,341053.9,Clinical Procedures
12,Acre,Consultations / Appointments / Follow-ups,415162.38,Clinical Procedures
13,Amazonas,Consultations / Appointments / Follow-ups,487635.14,Clinical Procedures
14,Roraima,Consultations / Appointments / Follow-ups,446618.8,Clinical Procedures
15,Pará,Consultations / Appointments / Follow-ups,716826.92,Clinical Procedures
16,Amapá,Consultations / Appointments / Follow-ups,12483.93,Clinical Procedures
17,Tocantins,Consultations / Appointments / Follow-ups,113621.0,Clinical Procedures
21,Maranhão,Consultations / Appointments / Follow-ups,662576.1,Clinical Procedures
22,Piauí,Consultations / Appointments / Follow-ups,483751.29,Clinical Procedures
23,Ceará,Consultations / Appointments / Follow-ups,6890203.04,Clinical Procedures
24,Rio Grande do Norte,Consultations / Appointments / Follow-ups,2138679.09,Clinical Procedures
25,Paraíba,Consultations / Appointments / Follow-ups,742630.96,Clinical Procedures
26,Pernambuco,Consultations / Appointments / Follow-ups,3191640.09,Clinical Procedures
27,Alagoas,Consultations / Appointments / Follow-ups,200554.42,Clinical Procedures
28,Sergipe,Consultations / Appointments / Follow-ups,305308.43,Clinical Procedures
29,Bahia,Consultations / Appointments / Follow-ups,2892705.44,Clinical Procedures
31,Minas Gerais,Consultations / Appointments / Follow-ups,6419344.03,Clinical Procedures
32,Espírito Santo,Consultations / Appointments / Follow-ups,1727447.48,Clinical Procedures
33,Rio de Janeiro,Consultations / Appointments / Follow-ups,3446096.23,Clinical Procedures
35,São Paulo,Consultations / Appointments / Follow-ups,17747726.99,Clinical Procedures
41,Paraná,Consultations / Appointments / Follow-ups,5545345.76,Clinical Procedures
42,Santa Catarina,Consultations / Appointments / Follow-ups,2950277.85,Clinical Procedures
43,Rio Grande do Sul,Consultations / Appointments / Follow-ups,1474921.22,Clinical Procedures
50,Mato Grosso do Sul,Consultations / Appointments / Follow-ups,729110.51,Clinical Procedures
51,Mato Grosso,Consultations / Appointments / Follow-ups,431488.58,Clinical Procedures
52,Goiás,Consultations / Appointments / Follow-ups,2759844.0,Clinical Procedures
53,Distrito Federal,Consultations / Appointments / Follow-ups,1477379.95,Clinical Procedures
Total,Brazil (total),Consultations / Appointments / Follow-ups,64750433.53,Clinical Procedures
11,Rondônia,Clinical treatments (other specialties),64545179.76,Clinical Procedures
12,Acre,Clinical treatments (other specialties),18740078.39,Clinical Procedures
13,Amazonas,Clinical treatments (other specialties),100550597.79,Clinical Procedures
14,Roraima,Clinical treatments (other specialties),25249508.38,Clinical Procedures
15,Pará,Clinical treatments (other specialties),213612538.2,Clinical Procedures
16,Amapá,Clinical treatments (other specialties),18665751.7,Clinical Procedures
17,Tocantins,Clinical treatments (other specialties),40217361.77,Clinical Procedures
21,Maranhão,Clinical treatments (other specialties),194152545.92,Clinical Procedures
22,Piauí,Clinical treatments (other specialties),106467381.26,Clinical Procedures
23,Ceará,Clinical treatments (other specialties),294065260.76,Clinical Procedures
24,Rio Grande do Norte,Clinical treatments (other specialties),95293086.61,Clinical Procedures
25,Paraíba,Clinical treatments (other specialties),116399610.65,Clinical Procedures
26,Pernambuco,Clinical treatments (other specialties),339827176.46,Clinical Procedures
27,Alagoas,Clinical treatments (other specialties),96281491.57,Clinical Procedures
28,Sergipe,Clinical treatments (other specialties),64547638.14,Clinical Procedures
29,Bahia,Clinical treatments (other specialties),390349759.89,Clinical Procedures
31,Minas Gerais,Clinical treatments (other specialties),936885757.81,Clinical Procedures
32,Espírito Santo,Clinical treatments (other specialties),173460719.29,Clinical Procedures
33,Rio de Janeiro,Clinical treatments (other specialties),547505422.41,Clinical Procedures
35,São Paulo,Clinical treatments (other specialties),1659552998.94,Clinical Procedures
41,Paraná,Clinical treatments (other specialties),573661919.1,Clinical Procedures
42,Santa Catarina,Clinical treatments (other specialties),291186579.17,Clinical Procedures
43,Rio Grande do Sul,Clinical treatments (other specialties),486496311.8,Clinical Procedures
50,Mato Grosso do Sul,Clinical treatments (other specialties),107768701.99,Clinical Procedures
51,Mato Grosso,Clinical treatments (other specialties),105280542.33,Clinical Procedures
52,Goiás,Clinical treatments (other specialties),216000207.31,Clinical Procedures
53,Distrito Federal,Clinical treatments (other specialties),133146627.52,Clinical Procedures
Total,Brazil (total),Clinical treatments (other specialties),7409910754.92,Clinical Procedures
11,Rondônia,Oncology treatment,2948448.98,Clinical Procedures
12,Acre,Oncology treatment,450738.36,Clinical Procedures
13,Amazonas,Oncology treatment,2453706.18,Clinical Procedures
14,Roraima,Oncology treatment,301009.3,Clinical Procedures
15,Pará,Oncology treatment,11919152.38,Clinical Procedures
16,Amapá,Oncology treatment,330294.49,Clinical Procedures
17,Tocantins,Oncology treatment,1784515.59,Clinical Procedures
21,Maranhão,Oncology treatment,9306674.98,Clinical Procedures
22,Piauí,Oncology treatment,6035445.87,Clinical Procedures
23,Ceará,Oncology treatment,12713514.22,Clinical Procedures
24,Rio Grande do Norte,Oncology treatment,10660181.39,Clinical Procedures
25,Paraíba,Oncology treatment,7459578.6,Clinical Procedures
26,Pernambuco,Oncology treatment,36523337.99,Clinical Procedures
27,Alagoas,Oncology treatment,6037648.85,Clinical Procedures
28,Sergipe,Oncology treatment,2114472.91,Clinical Procedures
29,Bahia,Oncology treatment,20273902.75,Clinical Procedures
31,Minas Gerais,Oncology treatment,60492701.17,Clinical Procedures
32,Espírito Santo,Oncology treatment,12371863.88,Clinical Procedures
33,Rio de Janeiro,Oncology treatment,24377379.02,Clinical Procedures
35,São Paulo,Oncology treatment,101455334.29,Clinical Procedures
41,Paraná,Oncology treatment,45354062.77,Clinical Procedures
42,Santa Catarina,Oncology treatment,23468599.45,Clinical Procedures
43,Rio Grande do Sul,Oncology treatment,34788365.21,Clinical Procedures
50,Mato Grosso do Sul,Oncology treatment,5467449.17,Clinical Procedures
51,Mato Grosso,Oncology treatment,4703357.24,Clinical Procedures
52,Goiás,Oncology treatment,6886198.76,Clinical Procedures
53,Distrito Federal,Oncology treatment,8932495.76,Clinical Procedures
Total,Brazil (total),Oncology treatment,459610429.56,Clinical Procedures
11,Rondônia,Nephrology treatment,2983581.3,Clinical Procedures
12,Acre,Nephrology treatment,808129.7,Clinical Procedures
13,Amazonas,Nephrology treatment,5091888.27,Clinical Procedures
14,Roraima,Nephrology treatment,1422575.78,Clinical Procedures
15,Pará,Nephrology treatment,15086921.29,Clinical Procedures
16,Amapá,Nephrology treatment,440134.82,Clinical Procedures
17,Tocantins,Nephrology treatment,2440205.14,Clinical Procedures
21,Maranhão,Nephrology treatment,8597962.03,Clinical Procedures
22,Piauí,Nephrology treatment,4166970.1,Clinical Procedures
23,Ceará,Nephrology treatment,15862101.35,Clinical Procedures
24,Rio Grande do Norte,Nephrology treatment,3288119.86,Clinical Procedures
25,Paraíba,Nephrology treatment,4166587.25,Clinical Procedures
26,Pernambuco,Nephrology treatment,17876469.18,Clinical Procedures
27,Alagoas,Nephrology treatment,5272781.57,Clinical Procedures
28,Sergipe,Nephrology treatment,4133391.63,Clinical Procedures
29,Bahia,Nephrology treatment,36575867.61,Clinical Procedures
31,Minas Gerais,Nephrology treatment,53916495.21,Clinical Procedures
32,Espírito Santo,Nephrology treatment,10443287.77,Clinical Procedures
33,Rio de Janeiro,Nephrology treatment,43907108.49,Clinical Procedures
35,São Paulo,Nephrology treatment,85731422.79,Clinical Procedures
41,Paraná,Nephrology treatment,22835041.11,Clinical Procedures
42,Santa Catarina,Nephrology treatment,11927909.86,Clinical Procedures
43,Rio Grande do Sul,Nephrology treatment,19329171.02,Clinical Procedures
50,Mato Grosso do Sul,Nephrology treatment,5058033.37,Clinical Procedures
51,Mato Grosso,Nephrology treatment,5846293.03,Clinical Procedures
52,Goiás,Nephrology treatment,10716922.12,Clinical Procedures
53,Distrito Federal,Nephrology treatment,9801932.15,Clinical Procedures
Total,Brazil (total),Nephrology treatment,407727303.8,Clinical Procedures
11,Rondônia,"Treatment of injuries, poisoning, and others resulting from external causes",3783205.82,Clinical Procedures
12,Acre,"Treatment of injuries, poisoning, and others resulting from external causes",742116.24,Clinical Procedures
13,Amazonas,"Treatment of injuries, poisoning, and others resulting from external causes",2980289.28,Clinical Procedures
14,Roraima,"Treatment of injuries, poisoning, and others resulting from external causes",561339.54,Clinical Procedures
15,Pará,"Treatment of injuries, poisoning, and others resulting from external causes",6507621.26,Clinical Procedures
16,Amapá,"Treatment of injuries, poisoning, and others resulting from external causes",417920.93,Clinical Procedures
17,Tocantins,"Treatment of injuries, poisoning, and others resulting from external causes",2112475.75,Clinical Procedures
21,Maranhão,"Treatment of injuries, poisoning, and others resulting from external causes",7325984.14,Clinical Procedures
22,Piauí,"Treatment of injuries, poisoning, and others resulting from external causes",2033023.59,Clinical Procedures
23,Ceará,"Treatment of injuries, poisoning, and others resulting from external causes",12330321.87,Clinical Procedures
24,Rio Grande do Norte,"Treatment of injuries, poisoning, and others resulting from external causes",3191215.78,Clinical Procedures
25,Paraíba,"Treatment of injuries, poisoning, and others resulting from external causes",2373759.68,Clinical Procedures
26,Pernambuco,"Treatment of injuries, poisoning, and others resulting from external causes",8929103.3,Clinical Procedures
27,Alagoas,"Treatment of injuries, poisoning, and others resulting from external causes",3053433.65,Clinical Procedures
28,Sergipe,"Treatment of injuries, poisoning, and others resulting from external causes",1407698.94,Clinical Procedures
29,Bahia,"Treatment of injuries, poisoning, and others resulting from external causes",11367996.25,Clinical Procedures
31,Minas Gerais,"Treatment of injuries, poisoning, and others resulting from external causes",20802336.08,Clinical Procedures
32,Espírito Santo,"Treatment of injuries, poisoning, and others resulting from external causes",4324729.81,Clinical Procedures
33,Rio de Janeiro,"Treatment of injuries, poisoning, and others resulting from external causes",14670316.14,Clinical Procedures
35,São Paulo,"Treatment of injuries, poisoning, and others resulting from external causes",41438967.54,Clinical Procedures
41,Paraná,"Treatment of injuries, poisoning, and others resulting from external causes",15444763.03,Clinical Procedures
42,Santa Catarina,"Treatment of injuries, poisoning, and others resulting from external causes",9000560.26,Clinical Procedures
43,Rio Grande do Sul,"Treatment of injuries, poisoning, and others resulting from external causes",13185940.98,Clinical Procedures
50,Mato Grosso do Sul,"Treatment of injuries, poisoning, and others resulting from external causes",2407443.51,Clinical Procedures
51,Mato Grosso,"Treatment of injuries, poisoning, and others resulting from external causes",3790329.64,Clinical Procedures
52,Goiás,"Treatment of injuries, poisoning, and others resulting from external causes",6303639.48,Clinical Procedures
53,Distrito Federal,"Treatment of injuries, poisoning, and others resulting from external causes",6574101.12,Clinical Procedures
Total,Brazil (total),"Treatment of injuries, poisoning, and others resulting from external causes",207060633.61,Clinical Procedures
11,Rondônia,Childbirth,4053737.26,Clinical Procedures
12,Acre,Childbirth,3494307.84,Clinical Procedures
13,Amazonas,Childbirth,18345615.49,Clinical Procedures
14,Roraima,Childbirth,3014932.48,Clinical Procedures
15,Pará,Childbirth,26108918.5,Clinical Procedures
16,Amapá,Childbirth,4220878.58,Clinical Procedures
17,Tocantins,Childbirth,5339630.5,Clinical Procedures
21,Maranhão,Childbirth,21199553.35,Clinical Procedures
22,Piauí,Childbirth,8851089.07,Clinical Procedures
23,Ceará,Childbirth,18358350.27,Clinical Procedures
24,Rio Grande do Norte,Childbirth,7299925.26,Clinical Procedures
25,Paraíba,Childbirth,9798946.77,Clinical Procedures
26,Pernambuco,Childbirth,28922801.77,Clinical Procedures
27,Alagoas,Childbirth,10806729.87,Clinical Procedures
28,Sergipe,Childbirth,8377971.8,Clinical Procedures
29,Bahia,Childbirth,40515388.29,Clinical Procedures
31,Minas Gerais,Childbirth,49620587.62,Clinical Procedures
32,Espírito Santo,Childbirth,10141002.53,Clinical Procedures
33,Rio de Janeiro,Childbirth,36800357.27,Clinical Procedures
35,São Paulo,Childbirth,92865909.59,Clinical Procedures
41,Paraná,Childbirth,24227282.13,Clinical Procedures
42,Santa Catarina,Childbirth,22827884.05,Clinical Procedures
43,Rio Grande do Sul,Childbirth,21915675.32,Clinical Procedures
50,Mato Grosso do Sul,Childbirth,6455695.16,Clinical Procedures
51,Mato Grosso,Childbirth,9136024.4,Clinical Procedures
52,Goiás,Childbirth,11616895.35,Clinical Procedures
53,Distrito Federal,Childbirth,10814083.64,Clinical Procedures
Total,Brazil (total),Childbirth,515130174.16,Clinical Procedures
11,Rondônia,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",354410.33,Surgical Procedures
12,Acre,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",139653.14,Surgical Procedures
13,Amazonas,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",283218.59,Surgical Procedures
14,Roraima,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",32613.46,Surgical Procedures
15,Pará,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",1315472.64,Surgical Procedures
16,Amapá,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",40852.54,Surgical Procedures
17,Tocantins,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",289685.42,Surgical Procedures
21,Maranhão,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",2206423.18,Surgical Procedures
22,Piauí,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",533417.49,Surgical Procedures
23,Ceará,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",1845920.59,Surgical Procedures
24,Rio Grande do Norte,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",987864.84,Surgical Procedures
25,Paraíba,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",460805.09,Surgical Procedures
26,Pernambuco,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",2677597.38,Surgical Procedures
27,Alagoas,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",702837.89,Surgical Procedures
28,Sergipe,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",312801.75,Surgical Procedures
29,Bahia,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",3927619.56,Surgical Procedures
31,Minas Gerais,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",4928922.69,Surgical Procedures
32,Espírito Santo,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",1216279.44,Surgical Procedures
33,Rio de Janeiro,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",2904190.08,Surgical Procedures
35,São Paulo,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",13204215.82,Surgical Procedures
41,Paraná,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",2811613.58,Surgical Procedures
42,Santa Catarina,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",3026122.9,Surgical Procedures
43,Rio Grande do Sul,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",3289626.48,Surgical Procedures
50,Mato Grosso do Sul,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",446893.5,Surgical Procedures
51,Mato Grosso,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",612339.61,Surgical Procedures
52,Goiás,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",845169.56,Surgical Procedures
53,Distrito Federal,"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",479137.71,Surgical Procedures
Total,Brazil (total),"Minor surgeries and surgeries of skin, subcutaneous tissue, and mucosa",49875705.26,Surgical Procedures
11,Rondônia,Endocrine gland surgery,96704.16,Surgical Procedures
12,Acre,Endocrine gland surgery,85649.25,Surgical Procedures
13,Amazonas,Endocrine gland surgery,194694.81,Surgical Procedures
14,Roraima,Endocrine gland surgery,11360.63,Surgical Procedures
15,Pará,Endocrine gland surgery,236594.63,Surgical Procedures
16,Amapá,Endocrine gland surgery,29717.02,Surgical Procedures
17,Tocantins,Endocrine gland surgery,60273.65,Surgical Procedures
21,Maranhão,Endocrine gland surgery,169759.33,Surgical Procedures
22,Piauí,Endocrine gland surgery,80761.97,Surgical Procedures
23,Ceará,Endocrine gland surgery,397435.51,Surgical Procedures
24,Rio Grande do Norte,Endocrine gland surgery,97110.97,Surgical Procedures
25,Paraíba,Endocrine gland surgery,309745.87,Surgical Procedures
26,Pernambuco,Endocrine gland surgery,241083.63,Surgical Procedures
