CD_UF,NAME_UF,Expense_Type,Value,Group
27,Alagoas,Endocrine gland surgery,143024.69,Surgical Procedures
28,Sergipe,Endocrine gland surgery,143249.61,Surgical Procedures
29,Bahia,Endocrine gland surgery,996621.91,Surgical Procedures
31,Minas Gerais,Endocrine gland surgery,1161046.73,Surgical Procedures
32,Espírito Santo,Endocrine gland surgery,299065.46,Surgical Procedures
33,Rio de Janeiro,Endocrine gland surgery,955461.21,Surgical Procedures
35,São Paulo,Endocrine gland surgery,2218466.84,Surgical Procedures
41,Paraná,Endocrine gland surgery,485581.2,Surgical Procedures
42,Santa Catarina,Endocrine gland surgery,231123.52,Surgical Procedures
43,Rio Grande do Sul,Endocrine gland surgery,468293.31,Surgical Procedures
50,Mato Grosso do Sul,Endocrine gland surgery,70755.94,Surgical Procedures
51,Mato Grosso,Endocrine gland surgery,127576.64,Surgical Procedures
52,Goiás,Endocrine gland surgery,129508.07,Surgical Procedures
53,Distrito Federal,Endocrine gland surgery,190866.67,Surgical Procedures
Total,Brazil (total),Endocrine gland surgery,9631533.23,Surgical Procedures
11,Rondônia,Central and peripheral nervous system surgery,3570939.67,Surgical Procedures
12,Acre,Central and peripheral nervous system surgery,1750176.2,Surgical Procedures
13,Amazonas,Central and peripheral nervous system surgery,4847425.87,Surgical Procedures
14,Roraima,Central and peripheral nervous system surgery,835884.91,Surgical Procedures
15,Pará,Central and peripheral nervous system surgery,9422195.98,Surgical Procedures
16,Amapá,Central and peripheral nervous system surgery,130158.17,Surgical Procedures
17,Tocantins,Central and peripheral nervous system surgery,2128495.25,Surgical Procedures
21,Maranhão,Central and peripheral nervous system surgery,8235418.91,Surgical Procedures
22,Piauí,Central and peripheral nervous system surgery,4674398.73,Surgical Procedures
23,Ceará,Central and peripheral nervous system surgery,13008678.49,Surgical Procedures
24,Rio Grande do Norte,Central and peripheral nervous system surgery,4031198.72,Surgical Procedures
25,Paraíba,Central and peripheral nervous system surgery,4827440.71,Surgical Procedures
26,Pernambuco,Central and peripheral nervous system surgery,10501574.89,Surgical Procedures
27,Alagoas,Central and peripheral nervous system surgery,3586902.91,Surgical Procedures
28,Sergipe,Central and peripheral nervous system surgery,4087537.95,Surgical Procedures
29,Bahia,Central and peripheral nervous system surgery,14264472.52,Surgical Procedures
31,Minas Gerais,Central and peripheral nervous system surgery,42216966.84,Surgical Procedures
32,Espírito Santo,Central and peripheral nervous system surgery,9980143.82,Surgical Procedures
33,Rio de Janeiro,Central and peripheral nervous system surgery,35669639.1,Surgical Procedures
35,São Paulo,Central and peripheral nervous system surgery,94371627.07,Surgical Procedures
41,Paraná,Central and peripheral nervous system surgery,31337401.49,Surgical Procedures
42,Santa Catarina,Central and peripheral nervous system surgery,16415605.39,Surgical Procedures
43,Rio Grande do Sul,Central and peripheral nervous system surgery,24548727.43,Surgical Procedures
50,Mato Grosso do Sul,Central and peripheral nervous system surgery,4672336.16,Surgical Procedures
51,Mato Grosso,Central and peripheral nervous system surgery,4162647.37,Surgical Procedures
52,Goiás,Central and peripheral nervous system surgery,7961162.38,Surgical Procedures
53,Distrito Federal,Central and peripheral nervous system surgery,8061006.98,Surgical Procedures
Total,Brazil (total),Central and peripheral nervous system surgery,369300163.91,Surgical Procedures
11,Rondônia,"Surgery of the upper airways, face, head, and neck",3553643.03,Surgical Procedures
12,Acre,"Surgery of the upper airways, face, head, and neck",427244.88,Surgical Procedures
13,Amazonas,"Surgery of the upper airways, face, head, and neck",3534940.45,Surgical Procedures
14,Roraima,"Surgery of the upper airways, face, head, and neck",202201.33,Surgical Procedures
15,Pará,"Surgery of the upper airways, face, head, and neck",6131636.04,Surgical Procedures
16,Amapá,"Surgery of the upper airways, face, head, and neck",86047.56,Surgical Procedures
17,Tocantins,"Surgery of the upper airways, face, head, and neck",1073580.92,Surgical Procedures
21,Maranhão,"Surgery of the upper airways, face, head, and neck",7979099.25,Surgical Procedures
22,Piauí,"Surgery of the upper airways, face, head, and neck",2900111.01,Surgical Procedures
23,Ceará,"Surgery of the upper airways, face, head, and neck",8393150.36,Surgical Procedures
24,Rio Grande do Norte,"Surgery of the upper airways, face, head, and neck",3720474.4,Surgical Procedures
25,Paraíba,"Surgery of the upper airways, face, head, and neck",3228318.58,Surgical Procedures
26,Pernambuco,"Surgery of the upper airways, face, head, and neck",11433234.09,Surgical Procedures
27,Alagoas,"Surgery of the upper airways, face, head, and neck",2170007.09,Surgical Procedures
28,Sergipe,"Surgery of the upper airways, face, head, and neck",2195325.37,Surgical Procedures
29,Bahia,"Surgery of the upper airways, face, head, and neck",10038230.1,Surgical Procedures
31,Minas Gerais,"Surgery of the upper airways, face, head, and neck",26719704.91,Surgical Procedures
32,Espírito Santo,"Surgery of the upper airways, face, head, and neck",3857486.44,Surgical Procedures
33,Rio de Janeiro,"Surgery of the upper airways, face, head, and neck",13056175.22,Surgical Procedures
35,São Paulo,"Surgery of the upper airways, face, head, and neck",47866944.71,Surgical Procedures
41,Paraná,"Surgery of the upper airways, face, head, and neck",26602646.6,Surgical Procedures
42,Santa Catarina,"Surgery of the upper airways, face, head, and neck",10278270.78,Surgical Procedures
43,Rio Grande do Sul,"Surgery of the upper airways, face, head, and neck",15248665.41,Surgical Procedures
50,Mato Grosso do Sul,"Surgery of the upper airways, face, head, and neck",2085904.74,Surgical Procedures
51,Mato Grosso,"Surgery of the upper airways, face, head, and neck",5206020.39,Surgical Procedures
52,Goiás,"Surgery of the upper airways, face, head, and neck",6789717.35,Surgical Procedures
53,Distrito Federal,"Surgery of the upper airways, face, head, and neck",3364880.29,Surgical Procedures
Total,Brazil (total),"Surgery of the upper airways, face, head, and neck",228143661.3,Surgical Procedures
11,Rondônia,Surgery of the visual system,84067.37,Surgical Procedures
12,Acre,Surgery of the visual system,22006.23,Surgical Procedures
13,Amazonas,Surgery of the visual system,1865593.55,Surgical Procedures
14,Roraima,Surgery of the visual system,24905.76,Surgical Procedures
15,Pará,Surgery of the visual system,6874628.39,Surgical Procedures
16,Amapá,Surgery of the visual system,397698.83,Surgical Procedures
17,Tocantins,Surgery of the visual system,45771.95,Surgical Procedures
21,Maranhão,Surgery of the visual system,5390886.31,Surgical Procedures
22,Piauí,Surgery of the visual system,753455.58,Surgical Procedures
23,Ceará,Surgery of the visual system,1644346.52,Surgical Procedures
24,Rio Grande do Norte,Surgery of the visual system,6615785.56,Surgical Procedures
25,Paraíba,Surgery of the visual system,1859951.53,Surgical Procedures
26,Pernambuco,Surgery of the visual system,8279980.84,Surgical Procedures
27,Alagoas,Surgery of the visual system,2988748.56,Surgical Procedures
28,Sergipe,Surgery of the visual system,1808966.43,Surgical Procedures
29,Bahia,Surgery of the visual system,18677917.58,Surgical Procedures
31,Minas Gerais,Surgery of the visual system,20541488.83,Surgical Procedures
32,Espírito Santo,Surgery of the visual system,3781837.09,Surgical Procedures
33,Rio de Janeiro,Surgery of the visual system,23456845.93,Surgical Procedures
35,São Paulo,Surgery of the visual system,60860761.43,Surgical Procedures
41,Paraná,Surgery of the visual system,19980136.04,Surgical Procedures
42,Santa Catarina,Surgery of the visual system,6943005.93,Surgical Procedures
43,Rio Grande do Sul,Surgery of the visual system,13498613.9,Surgical Procedures
50,Mato Grosso do Sul,Surgery of the visual system,6382646.8,Surgical Procedures
51,Mato Grosso,Surgery of the visual system,337386.3,Surgical Procedures
52,Goiás,Surgery of the visual system,9572183.52,Surgical Procedures
53,Distrito Federal,Surgery of the visual system,3202223.28,Surgical Procedures
Total,Brazil (total),Surgery of the visual system,225891840.04,Surgical Procedures
11,Rondônia,Surgery of the circulatory system,3512078.11,Surgical Procedures
12,Acre,Surgery of the circulatory system,5147515.05,Surgical Procedures
13,Amazonas,Surgery of the circulatory system,16990669.47,Surgical Procedures
14,Roraima,Surgery of the circulatory system,69479.03,Surgical Procedures
15,Pará,Surgery of the circulatory system,35034990.59,Surgical Procedures
16,Amapá,Surgery of the circulatory system,12255569.69,Surgical Procedures
17,Tocantins,Surgery of the circulatory system,10789405.63,Surgical Procedures
21,Maranhão,Surgery of the circulatory system,18594174.78,Surgical Procedures
22,Piauí,Surgery of the circulatory system,17645363.79,Surgical Procedures
23,Ceará,Surgery of the circulatory system,73983327.73,Surgical Procedures
24,Rio Grande do Norte,Surgery of the circulatory system,34190349.98,Surgical Procedures
25,Paraíba,Surgery of the circulatory system,31609550.96,Surgical Procedures
26,Pernambuco,Surgery of the circulatory system,55751133.91,Surgical Procedures
27,Alagoas,Surgery of the circulatory system,16700476.18,Surgical Procedures
28,Sergipe,Surgery of the circulatory system,26735208.27,Surgical Procedures
29,Bahia,Surgery of the circulatory system,67306244.83,Surgical Procedures
31,Minas Gerais,Surgery of the circulatory system,294012951.91,Surgical Procedures
32,Espírito Santo,Surgery of the circulatory system,64407106.17,Surgical Procedures
33,Rio de Janeiro,Surgery of the circulatory system,146046337.55,Surgical Procedures
35,São Paulo,Surgery of the circulatory system,493173966.05,Surgical Procedures
41,Paraná,Surgery of the circulatory system,256603371.04,Surgical Procedures
42,Santa Catarina,Surgery of the circulatory system,126752227.17,Surgical Procedures
43,Rio Grande do Sul,Surgery of the circulatory system,175022761.11,Surgical Procedures
50,Mato Grosso do Sul,Surgery of the circulatory system,32598089.72,Surgical Procedures
51,Mato Grosso,Surgery of the circulatory system,20991566.17,Surgical Procedures
52,Goiás,Surgery of the circulatory system,60403106.76,Surgical Procedures
53,Distrito Federal,Surgery of the circulatory system,38974535.17,Surgical Procedures
Total,Brazil (total),Surgery of the circulatory system,2135301556.82,Surgical Procedures
11,Rondônia,"Surgery of the digestive system, accessory organs, and abdominal wall",8717636.24,Surgical Procedures
12,Acre,"Surgery of the digestive system, accessory organs, and abdominal wall",6044612.71,Surgical Procedures
13,Amazonas,"Surgery of the digestive system, accessory organs, and abdominal wall",18946098.88,Surgical Procedures
14,Roraima,"Surgery of the digestive system, accessory organs, and abdominal wall",1648523.4,Surgical Procedures
15,Pará,"Surgery of the digestive system, accessory organs, and abdominal wall",41302208.95,Surgical Procedures
16,Amapá,"Surgery of the digestive system, accessory organs, and abdominal wall",2253561.88,Surgical Procedures
17,Tocantins,"Surgery of the digestive system, accessory organs, and abdominal wall",9026109.3,Surgical Procedures
21,Maranhão,"Surgery of the digestive system, accessory organs, and abdominal wall",33299063.06,Surgical Procedures
22,Piauí,"Surgery of the digestive system, accessory organs, and abdominal wall",19540958.31,Surgical Procedures
23,Ceará,"Surgery of the digestive system, accessory organs, and abdominal wall",43406670.05,Surgical Procedures
24,Rio Grande do Norte,"Surgery of the digestive system, accessory organs, and abdominal wall",17319581.05,Surgical Procedures
25,Paraíba,"Surgery of the digestive system, accessory organs, and abdominal wall",26293643.01,Surgical Procedures
26,Pernambuco,"Surgery of the digestive system, accessory organs, and abdominal wall",45053275.18,Surgical Procedures
27,Alagoas,"Surgery of the digestive system, accessory organs, and abdominal wall",13255758.42,Surgical Procedures
28,Sergipe,"Surgery of the digestive system, accessory organs, and abdominal wall",13166203.38,Surgical Procedures
29,Bahia,"Surgery of the digestive system, accessory organs, and abdominal wall",83002360.13,Surgical Procedures
31,Minas Gerais,"Surgery of the digestive system, accessory organs, and abdominal wall",137969222.81,Surgical Procedures
32,Espírito Santo,"Surgery of the digestive system, accessory organs, and abdominal wall",29658381.31,Surgical Procedures
33,Rio de Janeiro,"Surgery of the digestive system, accessory organs, and abdominal wall",84459888.1,Surgical Procedures
35,São Paulo,"Surgery of the digestive system, accessory organs, and abdominal wall",250362591.69,Surgical Procedures
41,Paraná,"Surgery of the digestive system, accessory organs, and abdominal wall",95221390.2,Surgical Procedures
42,Santa Catarina,"Surgery of the digestive system, accessory organs, and abdominal wall",57736090.4,Surgical Procedures
43,Rio Grande do Sul,"Surgery of the digestive system, accessory organs, and abdominal wall",76204842.75,Surgical Procedures
50,Mato Grosso do Sul,"Surgery of the digestive system, accessory organs, and abdominal wall",20197882.04,Surgical Procedures
51,Mato Grosso,"Surgery of the digestive system, accessory organs, and abdominal wall",18599259.25,Surgical Procedures
52,Goiás,"Surgery of the digestive system, accessory organs, and abdominal wall",43390599.41,Surgical Procedures
53,Distrito Federal,"Surgery of the digestive system, accessory organs, and abdominal wall",15104021.18,Surgical Procedures
Total,Brazil (total),"Surgery of the digestive system, accessory organs, and abdominal wall",1211180433.09,Surgical Procedures
11,Rondônia,Musculoskeletal system surgery,7074377.83,Surgical Procedures
12,Acre,Musculoskeletal system surgery,4179066.64,Surgical Procedures
13,Amazonas,Musculoskeletal system surgery,11022950.33,Surgical Procedures
14,Roraima,Musculoskeletal system surgery,1956704.9,Surgical Procedures
15,Pará,Musculoskeletal system surgery,23875422.02,Surgical Procedures
16,Amapá,Musculoskeletal system surgery,1544130.48,Surgical Procedures
17,Tocantins,Musculoskeletal system surgery,6090405.93,Surgical Procedures
21,Maranhão,Musculoskeletal system surgery,23477025.22,Surgical Procedures
22,Piauí,Musculoskeletal system surgery,13980492.8,Surgical Procedures
23,Ceará,Musculoskeletal system surgery,28179818.78,Surgical Procedures
24,Rio Grande do Norte,Musculoskeletal system surgery,6281323.57,Surgical Procedures
25,Paraíba,Musculoskeletal system surgery,17082541.78,Surgical Procedures
26,Pernambuco,Musculoskeletal system surgery,29116573.41,Surgical Procedures
27,Alagoas,Musculoskeletal system surgery,7596934.9,Surgical Procedures
28,Sergipe,Musculoskeletal system surgery,11235782.51,Surgical Procedures
29,Bahia,Musculoskeletal system surgery,67275811.2,Surgical Procedures
31,Minas Gerais,Musculoskeletal system surgery,132032752.65,Surgical Procedures
32,Espírito Santo,Musculoskeletal system surgery,32232573.65,Surgical Procedures
33,Rio de Janeiro,Musculoskeletal system surgery,82529153.08,Surgical Procedures
35,São Paulo,Musculoskeletal system surgery,242505121.34,Surgical Procedures
41,Paraná,Musculoskeletal system surgery,103793814.62,Surgical Procedures
42,Santa Catarina,Musculoskeletal system surgery,56822399.24,Surgical Procedures
43,Rio Grande do Sul,Musculoskeletal system surgery,76261730.25,Surgical Procedures
50,Mato Grosso do Sul,Musculoskeletal system surgery,17037714.2,Surgical Procedures
51,Mato Grosso,Musculoskeletal system surgery,20781666.8,Surgical Procedures
52,Goiás,Musculoskeletal system surgery,51565502.71,Surgical Procedures
53,Distrito Federal,Musculoskeletal system surgery,19022852.87,Surgical Procedures
Total,Brazil (total),Musculoskeletal system surgery,1094554643.71,Surgical Procedures
11,Rondônia,Genitourinary system surgery,4733614.19,Surgical Procedures
12,Acre,Genitourinary system surgery,1835945.2,Surgical Procedures
13,Amazonas,Genitourinary system surgery,6094849.47,Surgical Procedures
14,Roraima,Genitourinary system surgery,637245.22,Surgical Procedures
15,Pará,Genitourinary system surgery,19702469.4,Surgical Procedures
16,Amapá,Genitourinary system surgery,1496599.96,Surgical Procedures
17,Tocantins,Genitourinary system surgery,5333285.9,Surgical Procedures
21,Maranhão,Genitourinary system surgery,20103978.65,Surgical Procedures
22,Piauí,Genitourinary system surgery,9260446.72,Surgical Procedures
23,Ceará,Genitourinary system surgery,17007805.83,Surgical Procedures
24,Rio Grande do Norte,Genitourinary system surgery,7144564.8,Surgical Procedures
25,Paraíba,Genitourinary system surgery,11583842.39,Surgical Procedures
26,Pernambuco,Genitourinary system surgery,21216226.9,Surgical Procedures
27,Alagoas,Genitourinary system surgery,6179532.31,Surgical Procedures
28,Sergipe,Genitourinary system surgery,9207165.16,Surgical Procedures
29,Bahia,Genitourinary system surgery,54939166.38,Surgical Procedures
31,Minas Gerais,Genitourinary system surgery,53477875.2,Surgical Procedures
32,Espírito Santo,Genitourinary system surgery,8984148.67,Surgical Procedures
33,Rio de Janeiro,Genitourinary system surgery,34998759.36,Surgical Procedures
35,São Paulo,Genitourinary system surgery,101553026.02,Surgical Procedures
41,Paraná,Genitourinary system surgery,30229769.12,Surgical Procedures
42,Santa Catarina,Genitourinary system surgery,25350497.82,Surgical Procedures
43,Rio Grande do Sul,Genitourinary system surgery,23938873.2,Surgical Procedures
50,Mato Grosso do Sul,Genitourinary system surgery,6302865.82,Surgical Procedures
51,Mato Grosso,Genitourinary system surgery,9061455.55,Surgical Procedures
52,Goiás,Genitourinary system surgery,17475467.93,Surgical Procedures
53,Distrito Federal,Genitourinary system surgery,5570507.42,Surgical Procedures
Total,Brazil (total),Genitourinary system surgery,513419984.59,Surgical Procedures
11,Rondônia,Breast surgery,98288.59,Surgical Procedures
12,Acre,Breast surgery,37918.11,Surgical Procedures
13,Amazonas,Breast surgery,254061.29,Surgical Procedures
14,Roraima,Breast surgery,19135.69,Surgical Procedures
15,Pará,Breast surgery,539870.48,Surgical Procedures
16,Amapá,Breast surgery,17314.79,Surgical Procedures
17,Tocantins,Breast surgery,107294.29,Surgical Procedures
21,Maranhão,Breast surgery,410210.6,Surgical Procedures
22,Piauí,Breast surgery,131477.64,Surgical Procedures
23,Ceará,Breast surgery,642052.88,Surgical Procedures
24,Rio Grande do Norte,Breast surgery,121618.76,Surgical Procedures
25,Paraíba,Breast surgery,446253.2,Surgical Procedures
26,Pernambuco,Breast surgery,1115687.38,Surgical Procedures
27,Alagoas,Breast surgery,259859.84,Surgical Procedures
28,Sergipe,Breast surgery,139129.13,Surgical Procedures
29,Bahia,Breast surgery,1793820.72,Surgical Procedures
31,Minas Gerais,Breast surgery,2414826.89,Surgical Procedures
32,Espírito Santo,Breast surgery,393006.78,Surgical Procedures
33,Rio de Janeiro,Breast surgery,1213225.15,Surgical Procedures
35,São Paulo,Breast surgery,7813615.25,Surgical Procedures
41,Paraná,Breast surgery,1085272.92,Surgical Procedures
42,Santa Catarina,Breast surgery,748648.47,Surgical Procedures
43,Rio Grande do Sul,Breast surgery,1548294.42,Surgical Procedures
50,Mato Grosso do Sul,Breast surgery,359398.54,Surgical Procedures
51,Mato Grosso,Breast surgery,174047.14,Surgical Procedures
52,Goiás,Breast surgery,610618.85,Surgical Procedures
53,Distrito Federal,Breast surgery,416575.44,Surgical Procedures
Total,Brazil (total),Breast surgery,22911523.24,Surgical Procedures
11,Rondônia,Obstetric surgery,8765091.62,Surgical Procedures
12,Acre,Obstetric surgery,5967721.68,Surgical Procedures
13,Amazonas,Obstetric surgery,17781586.66,Surgical Procedures
14,Roraima,Obstetric surgery,3521788.19,Surgical Procedures
15,Pará,Obstetric surgery,44170387.78,Surgical Procedures
16,Amapá,Obstetric surgery,4226475.6,Surgical Procedures
17,Tocantins,Obstetric surgery,8513238.14,Surgical Procedures
21,Maranhão,Obstetric surgery,35699419.99,Surgical Procedures
22,Piauí,Obstetric surgery,16762339.72,Surgical Procedures
23,Ceará,Obstetric surgery,45502397.7,Surgical Procedures
24,Rio Grande do Norte,Obstetric surgery,18037217.74,Surgical Procedures
25,Paraíba,Obstetric surgery,22668590.69,Surgical Procedures
26,Pernambuco,Obstetric surgery,35706915.19,Surgical Procedures
27,Alagoas,Obstetric surgery,16731069.9,Surgical Procedures
28,Sergipe,Obstetric surgery,7861828.18,Surgical Procedures
29,Bahia,Obstetric surgery,44372963.69,Surgical Procedures
31,Minas Gerais,Obstetric surgery,70943158.59,Surgical Procedures
32,Espírito Santo,Obstetric surgery,16920256.53,Surgical Procedures
33,Rio de Janeiro,Obstetric surgery,51017145.92,Surgical Procedures
35,São Paulo,Obstetric surgery,138673632.73,Surgical Procedures
41,Paraná,Obstetric surgery,47484938.34,Surgical Procedures
42,Santa Catarina,Obstetric surgery,28273483.92,Surgical Procedures
43,Rio Grande do Sul,Obstetric surgery,38885056.92,Surgical Procedures
50,Mato Grosso do Sul,Obstetric surgery,14102627.44,Surgical Procedures
51,Mato Grosso,Obstetric surgery,16619254.5,Surgical Procedures
52,Goiás,Obstetric surgery,22118606.53,Surgical Procedures
53,Distrito Federal,Obstetric surgery,14151747.2,Surgical Procedures
Total,Brazil (total),Obstetric surgery,795478941.09,Surgical Procedures
11,Rondônia,Thoracic surgery,1141694.66,Surgical Procedures
12,Acre,Thoracic surgery,405268.87,Surgical Procedures
13,Amazonas,Thoracic surgery,3291310.01,Surgical Procedures
14,Roraima,Thoracic surgery,368246.41,Surgical Procedures
15,Pará,Thoracic surgery,6338118.45,Surgical Procedures
16,Amapá,Thoracic surgery,215423.95,Surgical Procedures
17,Tocantins,Thoracic surgery,1074435.22,Surgical Procedures
21,Maranhão,Thoracic surgery,3896404.34,Surgical Procedures
22,Piauí,Thoracic surgery,3161278.49,Surgical Procedures
23,Ceará,Thoracic surgery,9931877.77,Surgical Procedures
24,Rio Grande do Norte,Thoracic surgery,3075621.14,Surgical Procedures
25,Paraíba,Thoracic surgery,3874929.99,Surgical Procedures
26,Pernambuco,Thoracic surgery,9664827.62,Surgical Procedures
27,Alagoas,Thoracic surgery,1582406.59,Surgical Procedures
28,Sergipe,Thoracic surgery,1298894.13,Surgical Procedures
29,Bahia,Thoracic surgery,10781668.77,Surgical Procedures
31,Minas Gerais,Thoracic surgery,28956513.67,Surgical Procedures
32,Espírito Santo,Thoracic surgery,6423520.87,Surgical Procedures
33,Rio de Janeiro,Thoracic surgery,11940607.85,Surgical Procedures
35,São Paulo,Thoracic surgery,57585395.73,Surgical Procedures
41,Paraná,Thoracic surgery,35092365.66,Surgical Procedures
42,Santa Catarina,Thoracic surgery,20700583.42,Surgical Procedures
43,Rio Grande do Sul,Thoracic surgery,17512428.54,Surgical Procedures
50,Mato Grosso do Sul,Thoracic surgery,5766860.56,Surgical Procedures
51,Mato Grosso,Thoracic surgery,3735822.58,Surgical Procedures
52,Goiás,Thoracic surgery,6294618.79,Surgical Procedures
53,Distrito Federal,Thoracic surgery,4399707.28,Surgical Procedures
Total,Brazil (total),Thoracic surgery,258510831.36,Surgical Procedures
11,Rondônia,Reconstructive surgery,230095.65,Surgical Procedures
12,Acre,Reconstructive surgery,117626.1,Surgical Procedures
13,Amazonas,Reconstructive surgery,1734452.91,Surgical Procedures
14,Roraima,Reconstructive surgery,2610.86,Surgical Procedures
15,Pará,Reconstructive surgery,3233951.08,Surgical Procedures
